序号,输入地址,名称,通用输入编号,输出序号,输出地址,输出名称,通用输出编号
0,IN0,急停(常闭),K1-IN0,0,OUT0,绿灯,K1-OUT0
1,IN1,停止,K1-IN1,1,OUT1,黄灯,K1-OUT1
2,IN2,启动,K1-IN2,2,OUT2,红灯,K1-OUT2
3,IN3,检测到料片信号,K1-IN3,3,OUT3,蜂鸣器,K1-OUT3
4,IN4,,K1-IN4,4,OUT4,主控启动信号,K1-OUT4
5,IN5,,K1-IN5,5,OUT5,开始,K1-OUT5
6,IN6,传输带跟踪,K1-IN6,6,OUT6,暂停,K1-OUT6
7,IN7,移至扫码区到位信号,K1-IN7,7,OUT7,复位,K1-OUT7
8,IN8,机械臂放置完成信号（脉冲）,K1-IN8,8,OUT8,,K1-OUT8
9,IN9,初始化信号（脉冲）,K1-IN9,9,OUT9,发送扫码完成信号,K1-OUT9
10,IN10,机械臂取料完成信号（脉冲）,K1-IN10,10,OUT10,触发机械手放置料仓（配合123料仓）,K1-OUT10
11,IN11,放入小车完成信号（脉冲）,K1-IN11,11,OUT11,料仓1选择信号,K1-OUT11
12,IN12,料仓1下限位置信号(常闭),K1-IN12,12,OUT12,料仓2选择信号,K1-OUT12
13,IN13,料仓2下限位置信号(常闭),K1-IN13,13,OUT13,料仓3选择信号,K1-OUT13
14,IN14,料仓3下限位置信号(常闭),K1-IN14,14,OUT14,,K1-OUT14
15,IN15,机械手报警信号,K1-IN15,15,OUT15,发送取料指令,K1-OUT15
16,IN16,,K1-IN16,16,OUT16,,K1-OUT16
17,IN17,下相机报警信号,K1-IN17,17,OUT17,发送放入小车指令,K1-OUT17
18,IN18,,K1-IN18,18,OUT0,料仓1定位电磁阀,K2-OUT0
19,IN19,机械臂气缸报警信号,K1-IN19,19,OUT1,料仓1吹气电磁阀,K2-OUT1
20,IN20,机械手忙碌状态信号,K1-IN20,20,OUT2,料仓2定位电磁阀,K2-OUT2
21,IN21,,K1-IN21,21,OUT3,料仓2吹气电磁阀,K2-OUT3
22,IN22,,K1-IN22,22,OUT4,料仓定3位电磁阀,K2-OUT4
23,IN23,,K1-IN23,23,OUT5,料仓吹3气电磁阀,K2-OUT5
24,IN24,前门电磁感应信号,K1-IN24,24,OUT6,,K2-OUT6
25,IN25,后门电磁感应信号,K1-IN25,25,OUT7,清除报警,K2-OUT7
26,IN26,侧门电磁感应信号,K1-IN26,26,OUT8,,K2-OUT8
27,IN27,料仓1有料感应,K1-IN27,27,OUT9,,K2-OUT9
28,IN28,料仓2有料感应,K1-IN28,28,OUT10,,K2-OUT10
29,IN29,料仓3有料感应,K1-IN29,29,OUT11,,K2-OUT11
30,IN30,,K1-IN30,30,OUT12,,K2-OUT12
31,IN31,,K1-IN31,31,OUT13,,K2-OUT13
32,IN32,,K1-IN32,32,OUT14,,K2-OUT14
33,IN33,,K1-IN33,33,OUT15,,K2-OUT15
34,IN34,,,,,
35,IN35,,,,,
36,IN36,,,,,
37,IN37,,,,,
38,IN38,,,,,
39,IN39,,,,,
